country,description,points,price,province,region_1,taster_name,title,variety
US,"Expressive aromas of smoke, embers and blue fruit are followed by a full-bodied flavorful palate that still shows elegance. The finish lingers.",88,35.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Damsel 2013 Syrah (Columbia Valley (WA)),Syrah
South Africa,"Soft mint, spice, cocoa and smoke on the nose lead into like flavors on the palate, creating a smooth, integrated combination of elegant and structured components that are assertive but friendly. The finish is lingering and the wine has aging potential.",89,30.0,Stellenbosch,,Susan Kostrzewa,Simonsig 2005 Redhill Pinotage (Stellenbosch),Pinotage
Portugal,"An elegant, finely rounded wine, with firm tannins as well as fresh acidity. There is a solid, dark structured edge, the damson fruit flavors richly integrated into the texture.",90,,Douro,,Roger Voss,Quinta de la Rosa 2008 Red (Douro),Portuguese Red
South Africa,"Winemaker: Louis Nel. This Cab-Shiraz blend is somewhat closed at present, with muted dark-fruit aromas that suggest blackberry, boysenberry and plum. Mouthfilling, gripping tannins produce a tight, firm structure, while hints of blackcurrant liqueur, bittersweet chocolate and cigar box softly unfold on the close. This should develop and become more pronounced with some time in the cellar; try after 2020.",91,,Stellenbosch,,Lauren Buzzeo,Louis Nel 2015 Cape Winemakers Guild Rapscallion Cabernet Sauvignon-Shiraz (Stellenbosch),Cabernet Sauvignon-Shiraz
Portugal,"Lightly wood aged and spicy, this is a fine reflection of this great grape variety. It is rich and smooth, yet retains mineralitym, a crisp apricot and green plum fruit. Drink this impressive wine from 2017.",90,,Dão,,Roger Voss,Seacampo 2014 Casa Américo Branco Reserva Encruzado (Dão),Encruzado
New Zealand,"This medium-bodied Pinot Noir is a pleasant enough drink, offering modest strawberry and cherry aromas and flavors before a touch of mocha creeps in on the finish.",85,40.0,Central Otago,,Joe Czerwinski,Rapaura Springs 2009 Vineyard Reserve Pinot Noir (Central Otago),Pinot Noir
France,"This is a full and creamy wine, with an abundance of fruit flavors. Notes of white pear and apricot are portrayed in this ripe and warm feeling wine. The acidity and mandarine zest notes provide crispness and structure. Drink from 2014.",90,25.0,Provence,Bandol,Roger Voss,La Bastide Blanche 2012 White (Bandol),Provence white blend
Argentina,"Fresh aromas of white gumdrop, quince and peach precede a peachy, citrusy palate. Dry citrus flavors persist on a clean finish. This is a fresh Chardonnay where less is more.",87,14.0,Mendoza Province,Mendoza,Michael Schachner,Alfredo Roca 2016 Fincas Chardonnay (Mendoza),Chardonnay
France,"Rounded wine, softly fruity. Its attractiveness comes from ripe white fruits, soft structure and a generous feel. It's not for aging and can be drunk now.",85,21.0,Burgundy,Montagny,Roger Voss,Vignerons de Buxy 2011 Buissonnier  (Montagny),Chardonnay
US,"Very ripe prune and wild berry flavors fill this full-bodied and rather soft-textured wine. Based on Zinfandel grapes, it is bold in aroma, forward in flavor, smooth in the mouth and tastes a little bit sweet on the finish.",86,25.0,California,Mendocino County,Jim Gordon,Atrea 2013 Old Soul Red (Mendocino County),Red Blend
Italy,"Dark-skinned berry, new leather, and menthol aromas lead the nose, brightened by a floral tone. The palate delivers dried black cherry, crushed raspberry, clove and star anise flavors, made firm by framed tightly knit, rounded tannins. Drink 2020–2027.",92,54.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Villa Poggio Salvi 2012  Brunello di Montalcino,Sangiovese
US,"Red cherry, clove, cola and a touch of pepper make for an intriguing nose on this rosé. The palate is a touch viscous, lacking the expected brisk acidity, but it's quite flavorful—more cherry and spice flavors with a hint of wild game.",86,26.0,California,Monterey,Matt Kettmann,De Tierra 2015 Rosé (Monterey),Rosé
France,"This chateau deserved its promotion to Premier Grand Cru in 2006. Nicolas Thienpont has made a wonderfully firm, dense wine that piles rich fruit upon tannin upon rich fruit, while still preserving considerable elegance. The after effect is of a solid wine, powerful, long-lasting.",94,,Bordeaux,Saint-Émilion,Roger Voss,Château Pavie Macquin 2005  Saint-Émilion,Bordeaux-style Red Blend
US,"Muted aromas of blueberry and spice carry through into flavors that are equally tight-lipped. A charred-herb flavor imparts a bitter sensation, with bristly tannins framing the soft fruit core.",82,25.0,Virginia,Virginia,,Boxwood 2009 Red (Virginia),Bordeaux-style Red Blend
France,"With nearly 200 acres of vines, this is one of the largest Beaujolais estates. This Brouilly is ripe, raspberry-flavored, with fine sweet fruits and a tight core of tannin. The essential acidity is well balanced.",88,17.0,Beaujolais,Brouilly,Roger Voss,Mommessin 2006 Château de Pierreux  (Brouilly),Gamay
France,"This crisp, citrus-flavored wine has bright acidity and a touch of vanilla. It has great fruitiness, dominated by lemon with the tang of orange zest. It is ready to drink.",86,15.0,Burgundy,Bourgogne,Roger Voss,Château de Pizay 2016  Bourgogne,Chardonnay
Spain,"This full, ripe, balanced Priorat is a touch oaky and creamy up front, with schisty berry scents resting below the surface. Medium but nice on the palate, this offers cherry, currant, plum, coconut and marzipan flavors prior to an oaky, rooty tasting finish with ripe berry flavors. Drink now through 2021.",91,100.0,Catalonia,Priorat,Michael Schachner,Scala Dei 2010 Cartoixa Red (Priorat),Red Blend
US,"The second vintage of Rainstorm is smooth and pretty, showing flavors of ripe strawberry and chocolate that last through the finish.",88,17.0,Oregon,Oregon,Paul Gregutt,Rainstorm 2010 Pinot Noir (Oregon),Pinot Noir
Italy,"Heady aromas of peach blossom and jasmine lead the way on this vibrant sparkler. The refreshing palate brings bright acidity and an invigorating perlage, with green apple and citrus notes.",88,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Raphael Dal Bo 2014 Brut Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera
US,"Aromas of raspberries, vanilla and coconut lead to lightly styled fruit and barrel flavors. It's all about elegance.",90,26.0,Washington,Washington,Sean P. Sullivan,Wine o'Clock NV Snipes Creek Redd Red (Washington),Rhône-style Red Blend
Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",87,16.0,Tuscany,Toscana,Kerin O’Keefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend
Italy,"Aromas of oak, underbrush and a whiff of wet stone lift out of the glass. The aromas carry over to the lean palate along with ripe yellow-apple skin, a hint of citrus zest and a saline note. It closes on a bitter nutty note.",86,23.0,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,Assuli 2015 Astolfo Grillo (Terre Siciliane),Grillo
France,"Although this is labeled as Vin de France, its fruit comes from the La Bégude estate in Bandol. With one year's aging, it is full, soft and ripe with generous strawberry flavors. Dark in color, it may not follow the trend in Provence for pale rosés and its taste is rich and full bodied. The acidity at the end gives the necessary freshness.",91,40.0,France Other,Vin de France,Roger Voss,Domaine de la Bégude 2014 L'Irréductible Rosé (Vin de France),Rosé
US,"This is a very high alcohol wine, porty and fruity-sweet on the finish, with raisin, milk chocolate, caramel and mulberry flavors. It's made in a certain old-fashioned Paso style that calls for barbecue and a designated driver.",85,42.0,California,Paso Robles,,Croad 2009 Pure Zinfandel (Paso Robles),Zinfandel
Spain,"This is your quintessential simple quaff among brut cavas. It's clean, lime-tinged and soda-like on the nose, with a correct, no-issues palate that pushes zesty apple along with sweet papaya, mango and banana flavors. It's slightly sweet and tropical, but still it holds onto its crisp qualities and dryness. No complaints for the money.",87,12.0,Catalonia,Cava,Michael Schachner,Freixenet NV Cordon Negro Brut Sparkling (Cava),Sparkling Blend
US,"A proprietary blend of 57% Merlot, 35% Cabernet Sauvignon and 8% Petit Verdot, all homegrown, this is dense and powerful, rich in red fruit but also savory in tobacco, black tea and leather. Reflective of the appellation's ability to combine power with elegance, it fully represents and should continue to meld beautifully together in the cellar. Drink now through 2022.",94,96.0,California,Stags Leap District,Virginie Boone,Chimney Rock 2012 Elevage Estate Grown Red (Stags Leap District),Bordeaux-style Red Blend
Spain,"This wine was aged for a few months in barrel, and that woody character is evident on the nose, which shows butterscotch and dusty spice aromas, as well as the palate, which is lightly oily in feel, with baked, spicy flavors of toasted apple and pear. This Verdejo is woody but has freshness and a refined texture.",88,20.0,Northern Spain,Vino de la Tierra de Castilla y León,Michael Schachner,Finca la Rinconada 2011 Fermentado en Barrica Verdejo (Vino de la Tierra de Castilla y León),Verdejo
Germany,"The biggest difference between Huber's R bottlings and this Alte Reben (old vine) Pinot Noir is the crispness of this wine's acids. It still shows the complexity Huber builds in: an herbal tinge to the cherry fruit, hints of mushroom and coffee, it just comes across as a bit sharper and edgier. Drink now–2015.",87,80.0,Baden,,Joe Czerwinski,Huber 2007 Alte Reben Trocken Spätburgunder (Baden),Spätburgunder
US,"Cherries and chocolate are the hallmark of the Zins at Maryhill. The fruit is pretty and the chocolate smooth, certainly a crowd-pleasing style. The finish is clean and supple.",87,30.0,Washington,Columbia Valley (WA),Paul Gregutt,Maryhill 2009 Proprietor's Reserve Zinfandel (Columbia Valley (WA)),Zinfandel
Chile,"This is roasted to the max, with a very earthy nose, including burnt leaf, smoked meat and heavy fruit. The palate feels a bit high in acidity, with cherry and berry flavors that take on a baked character as it eases into a simple finish.",85,15.0,Maule Valley,,Michael Schachner,Aguirre 2009 Reina Ana Gran Reserva Cabernet Sauvignon-Syrah (Maule Valley),Cabernet Sauvignon-Syrah
US,"An expert blend of white Rhône varieties, this mix of 54% Grenache Blanc, 22% Viognier, 13% Picpoul Blanc and 11% Roussanne balances richness with sharpness perfectly. Aromas of honey, tangerine, creamy lily, tuberose and lemon blossoms lead into a palate full of yellow melon, yellow apple, sea salt, honeydew and even mango, all hung on a tense structure.",92,35.0,California,Adelaida District,Matt Kettmann,Adelaida 2014 Anna's White (Adelaida District),Rhône-style White Blend
France,"Nervy and racy, this has crisp acidity and a lively orange-zest texture. It's fruity, with upfront apple and grapefruit flavors, showing just a touch of a minerally character in the background.",85,15.0,Burgundy,Côte Chalonnaise,Roger Voss,Vignerons de Buxy 2010 Buissonnier  (Côte Chalonnaise),Chardonnay
Italy,"Aromas of rose, forest floor, toast and dark berry lead the nose on this straightforward, vibrant red. The racy palate delivers tart cherry, fresh raspberry, white pepper and clove alongside brisk acidity. Drink through 2016.",87,23.0,Piedmont,Barbera d'Alba Superiore,Kerin O’Keefe,Mauro Sebaste 2013 Centobricchi  (Barbera d'Alba Superiore),Barbera
Chile,"A mild whiff of gasoline is typical for Riesling, while this also smells a touch cheesy but not funky. A straight-ahead lemony palate delivers short blasts of lemon and underripe nectarine flavors, while the finish is mostly fresh and focused.",87,14.0,Maule Valley,,Michael Schachner,Meli 2016 Riesling (Maule Valley),Riesling
Argentina,"Aromas of cedar, juniper, graphite and blackberry are woody and full but fail to announce fairly the choppy astringency the palate brings. Herbal blueberry, pie cherry and mint flavors end with tangy, tart, borderline sourness on the finish.",85,29.0,Mendoza Province,Mendoza,Michael Schachner,Bodega Toneles 2010 Gran Tonel 137 Malbec (Mendoza),Malbec
US,"Pungent grassy notes lead the nose of this bottling from Vina Robles, with rounder passionfruit scents as well. The palate combines flinty minerality with lime zest, kumquat and herbal flavors, recalling its initial grassiness.",87,16.0,California,Paso Robles,Matt Kettmann,Vina Robles 2015 Sauvignon Blanc (Paso Robles),Sauvignon Blanc
Australia,"Its pale-gold color gives this rich, oaky style away. Lemon, green papaya, mint, nuts and wet stone all mingle with tongue-tingling acidity. The palate is on the lean and mean side at the moment, and the oak sticks out too, but there's a redeeming smokey, mineral finish and the hope that all will settle with time. Drink now–2025.",89,25.0,Western Australia,Margaret River,,Howard Park 2016 Miamup Chardonnay (Margaret River),Chardonnay
US,"A leathery touch of teriyaki and beef char mesh with violet, blueberry and black cassis aromas on the nose of this bottling from deep in the canyons of this appellation. Dark fruits of blueberry and elderberry hang from a strong, cedar-driven tannic structure spiced with vanilla, maple and clove.",91,38.0,California,Arroyo Seco,Matt Kettmann,Mesa Del Sol 2012 Zinfandel (Arroyo Seco),Zinfandel
Italy,"Aromas of red berry, mint, menthol and baking spice slowly take shape in the glass. On the palate, notes of anise, chopped herb and black pepper add depth to the cherry-raspberry core. Firm, fine-grained tannins and fresh acidity provide the framework. Drink 2018–2024.",92,49.0,Piedmont,Barbaresco,Kerin O’Keefe,Rivetti Massimo 2012 Froi  (Barbaresco),Nebbiolo
US,"Lots of tropical fruit, orange, lime, pear and buttered popcorn flavors in this Chardonnay. It's very bright in acidity, and is almost honey-sweet on the finish.",86,18.0,California,Central Coast,,Chamisal Vineyards 2009 Stainless Unoaked Chardonnay (Central Coast),Chardonnay
Germany,"Concentrated swells of peach and honey sweeten this bright, sunny off-dry kabinett. While crisp, almost lacy, in mouthfeel, stark, lemony acidity drives a piercing finish. Drink now.",89,11.0,Mosel,,Anna Lee C. Iijima,Karl Josef 2014 Piesporter Michelsberg Kabinett Riesling (Mosel),Riesling
US,"While a bit lean in concentration, yellow apple, pear and lemon are pristine and ripe on the nose and palate. The mouthfeel is a bit broad and flat but finishes briskly. Drink now.",86,18.0,New York,North Fork of Long Island,Anna Lee C. Iijima,Sherwood House Vineyards 2016 Oregon Road Chardonnay (North Fork of Long Island),Chardonnay
South Africa,"This Bordeaux-style blend is oaky at first, with aromas of vanilla, caramel and mocha that slowly mellow and marry with the berry compote, fig and black plum core. The lush, mouthfilling palate has a texture like crushed velvet: rich, seductive and fruity, but with some tannic edge. Nuances of mocha and anise grace the long finish. Drink now–2018.",91,95.0,Stellenbosch,,Lauren Buzzeo,Ernie Els 2009 Signature Red (Stellenbosch),Bordeaux-style Red Blend
US,"There's lots of flavor going on here for a modest price. It starts with sharp, well-defined red fruit, tight and acidic, but interesting and nuanced. There's a pretty fair streak of vanilla, which suggests some sort of oak chip treatment, but it fills out the middle and delivers the sort of flavors that many consumers will love.",85,15.0,Washington,Washington,,Milbrandt 2005 Traditions Merlot (Washington),Merlot
US,"This tiny-production wine shows an attention to detail in the vineyard and cellar. The clonal selection shines, given partial barrel-fermentation, partial stainless steel, all aged in mostly neutral French oak. Honeysuckle aromas jump from the glass, followed by viscous, juicy tropical elements of mango and lychee. It finishes dry and lemony.",92,24.0,California,Sonoma Coast,Virginie Boone,Lusso Della Terra 2014 Clone 809 Chardonnay (Sonoma Coast),Chardonnay
Spain,"Aromas of apple cider and mild spice get it going in a good direction, and this colorfully packaged cava does pretty well in the mouth, where the texture is on the soft side and the flavors of apple and orange run a bit sweet. Not complex but good, fluffy and yeasty.",87,15.0,Catalonia,Cava,Michael Schachner,Paul Cheneau NV Lady of Spain Brut Sparkling (Cava),Sparkling Blend
US,"A sweetly soft 100% Syrah, made for drinking now. It's jammy and forward in raspberries, cherries and mocha, with a dusting of pepper and cinnamon. Firm tannins provide a good grip in the mouth.",87,25.0,California,Santa Ynez Valley,,Zaca Mesa 2008 Syrah (Santa Ynez Valley),Syrah
Chile,"Very good Carmenère with requisite tea, herbal and bold berry aromas. The palate is just right in that it's neither heavy nor sharp, and the flavors of cola, burnt brown sugar and roasted berries are smooth and deep. Finishes with notes of coffee, herbs and sweet fruits as it hits the target close to the bull's eye.",89,19.0,Colchagua Valley,,Michael Schachner,Viña Bisquertt 2007 Ecos de Rulo Carmenère (Colchagua Valley),Carmenère
US,"Light red cherry, dried sage, black tea and thyme show on the nose of this bottling from the iconic facility in the heart of its namesake valley. There is a lot of action on the palate, where tart cherry and plum skin flavors meet with dried mint and earthy shrub elements.",88,45.0,California,Santa Lucia Highlands,Matt Kettmann,Edna Valley Vineyard 2013 Reserve Pinot Noir (Santa Lucia Highlands),Pinot Noir
US,"Firm and muscular, with mixed berries and cherry fruit, this beautifully defined Cabernet shows excellent penetration and focus. The finish is long, smoky, and carries a hint of gun metal.",93,30.0,Washington,Wahluke Slope,Paul Gregutt,Nefarious 2009 Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon
US,"This pure, full-bodied Merlot coats the palate with purple fruits and a creamy mix of mint, spice and vanilla. The herbal highlights are subtle and proportionate, and it's a very flavorful wine for the price.",89,24.0,Oregon,Walla Walla Valley (OR),Paul Gregutt,Watermill 2009 Merlot (Walla Walla Valley (OR)),Merlot
Argentina,"Raspberry and cassis aromas are fresh and upright while showing wiry, grassy accents. Full bodied, this features a jammy, pulpy palate that's fresh but low on definition. Herbal, lightly green infiltrations drift onto a solid, tannic finish. Drink through 2018.",90,43.0,Other,San Juan,Michael Schachner,Finca Las Moras 2010 Pedernal Malbec (San Juan),Malbec
US,"This is the finest Cabernet from Gordon Estate in some time; forward and pretty, with a juicy mix of red fruits. The raspberry and cherry and currant flavors are nicely defined and deep, underscored with crisp acidity, and showing the sort of youthful concentration that suggests further cellaring is in order. Nonetheless, it's a wine to enjoy right away simply for its luscious, exuberant fruit.",91,26.0,Washington,Columbia Valley (WA),Paul Gregutt,Gordon Estate 2010 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon
US,"Lime and grapefruit aromas lead to crisp, dry and fresh citrus flavors in this medium-bodied and tautly balanced wine with a lively personality.",87,13.0,California,California,Jim Gordon,Murphy-Goode 2014 Pinot Grigio (California),Pinot Grigio
