country,province,region_1,variety,price,year,taster_name,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,is_blend
1.0,1.0,1.0,1.0,35.0,2013.0,1.0,0,0,0,0,0,0,0
2.0,2.0,55.0,2.0,30.0,2005.0,2.0,0,0,0,0,0,0,0
3.0,3.0,55.0,3.0,25.0,2008.0,3.0,0,0,0,0,0,0,0
2.0,2.0,55.0,4.0,25.0,2015.0,4.0,0,0,0,0,0,0,1
3.0,4.0,55.0,5.0,25.0,2014.0,3.0,0,0,0,0,0,0,0
4.0,5.0,55.0,6.0,40.0,2009.0,5.0,1,0,0,0,0,0,0
5.0,6.0,3.0,7.0,25.0,2012.0,3.0,0,1,0,0,0,0,0
6.0,7.0,4.0,8.0,14.0,2016.0,6.0,0,1,0,0,1,0,0
5.0,8.0,5.0,8.0,21.0,2011.0,3.0,0,1,0,0,0,0,0
1.0,9.0,6.0,9.0,25.0,2013.0,7.0,0,0,0,0,0,1,1
7.0,10.0,7.0,10.0,54.0,2012.0,8.0,1,0,0,0,1,0,0
1.0,9.0,8.0,11.0,26.0,2015.0,9.0,1,0,1,0,0,0,0
5.0,11.0,9.0,12.0,25.0,2005.0,3.0,0,0,0,0,0,0,1
1.0,12.0,10.0,12.0,25.0,2009.0,0.0,0,0,0,0,0,0,1
5.0,13.0,11.0,13.0,17.0,2006.0,3.0,0,0,0,0,0,1,0
5.0,8.0,12.0,8.0,15.0,2016.0,3.0,0,0,0,0,0,0,0
8.0,14.0,13.0,9.0,100.0,2010.0,6.0,0,0,0,0,0,0,1
1.0,15.0,14.0,6.0,17.0,2010.0,11.0,0,0,0,0,0,0,0
7.0,16.0,15.0,14.0,16.0,2014.0,8.0,0,0,0,0,0,0,0
1.0,1.0,16.0,15.0,26.0,2011.0,1.0,0,0,0,0,0,0,1
7.0,10.0,17.0,9.0,16.0,2014.0,8.0,1,0,0,0,0,0,1
7.0,17.0,18.0,16.0,23.0,2015.0,8.0,0,0,0,0,0,0,0
5.0,18.0,19.0,11.0,40.0,2014.0,3.0,0,0,0,0,0,0,0
1.0,9.0,20.0,17.0,42.0,2009.0,0.0,0,0,0,0,0,1,0
8.0,14.0,21.0,18.0,12.0,2011.0,6.0,0,0,0,0,0,1,1
1.0,9.0,22.0,12.0,96.0,2012.0,12.0,1,0,0,0,0,0,1
8.0,19.0,23.0,19.0,20.0,2011.0,6.0,0,0,0,0,0,0,0
9.0,20.0,55.0,20.0,80.0,2007.0,5.0,1,0,0,0,0,0,0
1.0,1.0,1.0,17.0,30.0,2009.0,11.0,0,0,0,0,0,0,0
10.0,21.0,55.0,21.0,15.0,2009.0,6.0,0,0,0,0,0,0,1
1.0,9.0,24.0,22.0,35.0,2014.0,9.0,0,1,0,0,0,0,1
5.0,8.0,25.0,8.0,15.0,2010.0,3.0,0,0,0,0,0,0,0
7.0,22.0,26.0,23.0,23.0,2013.0,8.0,1,1,1,0,0,0,0
10.0,21.0,55.0,24.0,14.0,2016.0,6.0,0,0,0,0,0,0,0
6.0,7.0,4.0,25.0,29.0,2010.0,6.0,0,0,0,0,0,0,0
1.0,9.0,20.0,26.0,16.0,2015.0,9.0,0,0,0,0,0,0,0
11.0,23.0,27.0,8.0,25.0,2016.0,0.0,0,0,0,0,0,0,0
1.0,9.0,28.0,17.0,38.0,2012.0,9.0,1,0,0,0,0,0,0
7.0,22.0,29.0,27.0,49.0,2012.0,8.0,1,0,0,0,0,0,0
1.0,9.0,30.0,8.0,18.0,2009.0,0.0,0,0,0,0,0,1,0
9.0,24.0,55.0,24.0,11.0,2014.0,13.0,0,0,0,0,1,0,0
1.0,25.0,31.0,8.0,18.0,2016.0,13.0,0,0,0,0,0,0,0
2.0,2.0,55.0,12.0,95.0,2009.0,4.0,1,0,0,0,0,0,1
1.0,1.0,16.0,28.0,15.0,2005.0,0.0,1,0,0,0,0,0,0
1.0,9.0,32.0,8.0,24.0,2014.0,12.0,0,0,0,0,1,0,0
8.0,14.0,21.0,18.0,15.0,2011.0,6.0,0,0,0,0,0,1,1
1.0,9.0,33.0,1.0,25.0,2008.0,0.0,0,0,0,0,0,0,0
10.0,26.0,55.0,29.0,19.0,2007.0,6.0,0,0,0,0,0,1,0
1.0,9.0,34.0,6.0,45.0,2013.0,9.0,1,0,0,0,1,0,0
1.0,1.0,35.0,30.0,30.0,2009.0,11.0,0,0,0,0,0,0,0
1.0,15.0,36.0,28.0,24.0,2009.0,11.0,0,0,0,0,0,0,0
6.0,27.0,37.0,25.0,43.0,2010.0,6.0,0,0,0,0,0,0,0
1.0,1.0,1.0,30.0,26.0,2010.0,11.0,1,0,0,0,0,0,0
1.0,9.0,38.0,31.0,13.0,2014.0,7.0,0,0,0,0,1,0,0
7.0,10.0,39.0,10.0,25.0,2006.0,0.0,1,0,0,0,0,0,0
5.0,8.0,40.0,6.0,25.0,2010.0,3.0,1,0,0,0,1,0,0
1.0,25.0,41.0,24.0,50.0,2013.0,13.0,0,0,0,0,0,0,0
7.0,22.0,42.0,27.0,40.0,2011.0,8.0,1,1,0,0,0,0,0
1.0,15.0,43.0,8.0,36.0,2015.0,11.0,0,0,0,0,0,0,0
7.0,17.0,44.0,32.0,19.0,2008.0,0.0,0,0,0,0,0,0,0
5.0,28.0,45.0,33.0,45.0,2011.0,3.0,0,0,0,0,0,0,1
5.0,11.0,9.0,12.0,65.0,2012.0,3.0,1,0,0,0,0,0,1
11.0,29.0,46.0,34.0,18.0,2014.0,5.0,0,0,0,0,0,0,0
1.0,15.0,47.0,6.0,55.0,2012.0,11.0,0,0,0,0,0,0,0
1.0,9.0,48.0,25.0,50.0,2012.0,12.0,1,0,0,0,0,0,0
3.0,3.0,55.0,3.0,12.0,2005.0,3.0,1,0,0,0,0,0,0
1.0,15.0,43.0,6.0,35.0,2014.0,11.0,0,0,0,0,0,0,0
1.0,9.0,20.0,35.0,16.0,2016.0,9.0,0,0,0,0,0,0,0
5.0,13.0,11.0,13.0,25.0,2014.0,3.0,0,0,0,0,0,0,0
1.0,15.0,49.0,6.0,60.0,2014.0,11.0,0,0,0,0,0,0,0
1.0,9.0,50.0,6.0,55.0,2010.0,0.0,0,0,0,0,0,0,0
7.0,22.0,26.0,23.0,25.0,2015.0,8.0,1,0,0,0,0,0,0
1.0,9.0,38.0,28.0,10.0,2015.0,7.0,1,0,0,0,0,0,0
12.0,30.0,55.0,9.0,40.0,2009.0,14.0,1,0,0,0,0,0,1
1.0,9.0,51.0,36.0,15.0,2007.0,0.0,0,1,0,0,0,1,1
1.0,9.0,52.0,8.0,100.0,2010.0,0.0,0,0,0,0,0,0,0
1.0,9.0,53.0,15.0,25.0,2012.0,7.0,0,0,0,0,0,0,1
7.0,31.0,54.0,37.0,15.0,2015.0,8.0,0,0,0,0,0,0,0
1.0,9.0,55.0,9.0,13.0,2011.0,0.0,1,0,0,0,0,0,1
1.0,15.0,43.0,8.0,25.0,2014.0,11.0,0,0,0,0,0,0,0
1.0,9.0,48.0,30.0,65.0,2009.0,0.0,1,0,0,0,0,1,0
1.0,9.0,53.0,1.0,40.0,2010.0,12.0,0,0,0,0,0,0,0
1.0,1.0,56.0,1.0,30.0,2011.0,1.0,0,0,0,0,0,0,0
5.0,13.0,57.0,13.0,22.0,2014.0,3.0,1,0,0,0,0,0,0
1.0,1.0,58.0,30.0,75.0,2009.0,11.0,1,0,0,0,0,0,0
5.0,8.0,59.0,8.0,29.0,2012.0,3.0,0,0,0,0,0,0,0
1.0,9.0,60.0,6.0,55.0,2014.0,12.0,1,1,0,0,0,0,0
5.0,11.0,61.0,12.0,12.0,2015.0,3.0,1,0,0,0,1,0,1
7.0,10.0,7.0,10.0,40.0,2012.0,8.0,1,0,0,0,0,0,0
1.0,9.0,33.0,30.0,34.0,2012.0,9.0,0,0,0,0,0,0,0
7.0,10.0,17.0,10.0,25.0,2013.0,8.0,1,0,0,0,0,0,0
1.0,1.0,62.0,12.0,89.0,2013.0,1.0,1,0,0,0,0,0,1
5.0,32.0,63.0,26.0,16.0,2010.0,3.0,0,0,0,0,0,0,0
1.0,9.0,64.0,6.0,30.0,2009.0,0.0,1,0,0,0,1,0,0
6.0,7.0,4.0,8.0,13.0,2009.0,6.0,0,0,0,0,0,0,0
3.0,33.0,55.0,38.0,16.0,2014.0,3.0,0,0,0,0,0,0,0
7.0,10.0,65.0,9.0,18.0,2013.0,8.0,1,0,0,0,0,0,1
5.0,11.0,66.0,28.0,38.0,2014.0,3.0,0,0,0,0,0,0,0
10.0,21.0,55.0,30.0,12.0,2015.0,6.0,0,0,0,0,0,0,0
3.0,34.0,55.0,39.0,12.0,2016.0,3.0,0,0,0,0,0,0,0
10.0,35.0,55.0,9.0,40.0,2013.0,6.0,0,0,0,0,0,0,1
7.0,10.0,67.0,10.0,30.0,2011.0,8.0,0,0,0,0,0,0,0
1.0,9.0,68.0,30.0,64.0,2012.0,12.0,1,0,0,0,0,0,0
13.0,36.0,55.0,34.0,17.0,2012.0,15.0,1,0,0,0,0,0,0
7.0,17.0,69.0,40.0,40.0,2010.0,8.0,1,0,1,0,0,0,0
5.0,8.0,70.0,8.0,67.0,2006.0,3.0,0,0,0,0,1,0,0
1.0,15.0,14.0,6.0,22.0,2012.0,11.0,0,0,1,0,0,0,0
5.0,37.0,71.0,41.0,29.0,2012.0,16.0,0,0,0,0,0,1,0
7.0,16.0,72.0,14.0,22.0,2016.0,8.0,0,1,0,0,1,0,0
1.0,9.0,64.0,17.0,45.0,2011.0,0.0,0,0,0,0,0,0,0
7.0,17.0,73.0,9.0,32.0,2012.0,8.0,0,0,0,0,0,0,1
4.0,38.0,55.0,6.0,35.0,2012.0,5.0,1,0,0,0,1,0,0
3.0,39.0,55.0,1.0,25.0,2013.0,3.0,1,0,0,0,0,0,0
7.0,40.0,74.0,42.0,25.0,2006.0,0.0,0,0,0,0,0,0,0
1.0,9.0,75.0,43.0,48.0,2006.0,0.0,0,0,0,0,1,0,0
5.0,8.0,76.0,8.0,25.0,2006.0,3.0,0,1,0,0,0,0,0
1.0,9.0,34.0,6.0,100.0,2014.0,9.0,1,0,0,0,0,0,0
7.0,10.0,67.0,10.0,25.0,2011.0,8.0,0,0,0,0,0,0,0
5.0,41.0,77.0,44.0,13.0,2014.0,3.0,0,1,0,0,0,0,1
5.0,28.0,45.0,33.0,55.0,2011.0,3.0,0,0,0,0,1,0,1
2.0,42.0,55.0,1.0,18.0,2000.0,0.0,0,0,0,0,0,0,0
1.0,9.0,78.0,1.0,40.0,2013.0,9.0,0,0,0,0,1,0,0
1.0,9.0,79.0,26.0,13.0,2014.0,7.0,0,0,0,0,0,0,0
8.0,19.0,80.0,45.0,9.0,2012.0,6.0,0,1,0,0,0,0,0
1.0,9.0,64.0,9.0,44.0,2015.0,12.0,1,0,0,0,0,0,1
4.0,5.0,55.0,8.0,22.0,2010.0,5.0,0,0,0,0,0,1,0
14.0,43.0,55.0,46.0,45.0,2005.0,3.0,1,0,0,0,0,0,0
7.0,16.0,81.0,47.0,25.0,2008.0,0.0,0,0,0,0,1,0,0
5.0,6.0,82.0,11.0,15.0,2015.0,3.0,1,0,0,0,0,0,0
1.0,44.0,55.0,1.0,28.0,2013.0,1.0,0,0,0,0,0,0,0
1.0,9.0,32.0,36.0,28.0,2009.0,0.0,0,0,0,0,0,1,1
7.0,31.0,83.0,37.0,16.0,2015.0,8.0,0,1,0,0,0,0,0
7.0,31.0,84.0,9.0,18.0,2006.0,0.0,1,0,0,0,0,0,1
1.0,9.0,85.0,17.0,35.0,2012.0,12.0,0,0,0,0,0,0,0
1.0,15.0,36.0,11.0,35.0,2010.0,11.0,0,0,1,0,0,0,0
1.0,9.0,55.0,9.0,32.0,2012.0,12.0,0,0,0,0,0,0,1
1.0,9.0,55.0,30.0,95.0,2012.0,12.0,1,0,0,0,0,0,0
1.0,1.0,1.0,12.0,50.0,2013.0,1.0,1,0,0,0,0,0,1
1.0,9.0,64.0,30.0,23.0,2012.0,12.0,1,0,0,0,0,0,0
1.0,9.0,50.0,17.0,34.0,1999.0,0.0,1,0,0,0,0,0,0
1.0,1.0,86.0,12.0,48.0,2011.0,11.0,1,0,0,0,0,0,1
1.0,9.0,78.0,8.0,45.0,2010.0,0.0,0,0,0,0,1,1,0
1.0,1.0,1.0,48.0,12.0,2011.0,11.0,0,1,0,0,0,0,0
5.0,11.0,87.0,12.0,26.0,2011.0,3.0,0,0,0,0,0,0,1
1.0,9.0,88.0,1.0,55.0,2013.0,9.0,0,0,0,0,0,0,0
6.0,7.0,4.0,25.0,20.0,2007.0,6.0,0,0,0,0,0,0,0
1.0,9.0,34.0,6.0,34.0,2014.0,9.0,0,0,0,0,0,0,0
1.0,9.0,20.0,22.0,28.0,2015.0,9.0,0,1,0,0,0,0,1
1.0,9.0,38.0,36.0,8.0,2012.0,0.0,0,1,0,0,0,0,1
10.0,26.0,55.0,9.0,19.0,2013.0,6.0,1,0,0,0,0,0,1
5.0,8.0,70.0,8.0,23.0,2014.0,3.0,0,0,0,0,0,0,0
4.0,45.0,55.0,8.0,52.0,2013.0,5.0,0,0,0,0,0,0,0
1.0,9.0,55.0,49.0,16.0,2010.0,0.0,0,0,0,0,0,1,0
1.0,9.0,30.0,26.0,14.0,2009.0,0.0,0,1,0,0,1,0,0
10.0,35.0,55.0,8.0,15.0,2013.0,6.0,0,0,0,0,0,0,0
1.0,9.0,89.0,24.0,20.0,2009.0,0.0,0,1,0,0,1,0,0
1.0,15.0,90.0,48.0,14.0,2014.0,11.0,0,1,0,0,0,0,0
8.0,46.0,91.0,50.0,19.0,2015.0,6.0,0,0,0,0,0,0,0
10.0,47.0,55.0,1.0,20.0,2012.0,6.0,0,0,0,0,0,0,0
8.0,14.0,13.0,9.0,48.0,2007.0,6.0,1,0,0,0,0,0,1
1.0,15.0,92.0,6.0,38.0,2009.0,11.0,0,0,0,0,0,0,0
2.0,48.0,55.0,49.0,18.0,2014.0,4.0,0,0,0,0,0,0,0
1.0,9.0,85.0,12.0,47.0,2006.0,0.0,0,0,0,0,1,0,1
1.0,9.0,93.0,11.0,16.0,2014.0,7.0,0,0,1,0,0,0,0
1.0,9.0,8.0,1.0,39.0,2009.0,0.0,0,0,0,0,0,1,0
3.0,49.0,55.0,51.0,94.0,1997.0,0.0,1,0,0,0,1,0,0
7.0,16.0,94.0,47.0,90.0,2008.0,0.0,1,0,0,0,0,0,0
1.0,1.0,1.0,38.0,32.0,2013.0,1.0,1,0,0,0,0,0,0
1.0,1.0,1.0,28.0,38.0,2008.0,11.0,1,0,0,0,0,0,0
1.0,9.0,88.0,52.0,19.0,2009.0,0.0,0,0,0,0,1,0,0
1.0,15.0,14.0,53.0,28.0,2012.0,11.0,0,0,0,0,0,0,0
1.0,9.0,20.0,43.0,30.0,2012.0,9.0,1,0,0,0,1,0,0
10.0,26.0,55.0,29.0,19.0,2011.0,6.0,0,0,0,0,0,0,0
7.0,31.0,95.0,9.0,14.0,2010.0,0.0,0,0,0,0,0,0,1
1.0,1.0,1.0,28.0,31.0,2006.0,11.0,0,0,0,0,0,0,0
5.0,6.0,3.0,11.0,35.0,2011.0,3.0,0,0,0,0,0,0,0
2.0,48.0,55.0,34.0,10.0,2007.0,2.0,0,0,0,0,0,0,0
6.0,7.0,96.0,25.0,17.0,2013.0,6.0,1,0,0,0,0,0,0
1.0,1.0,1.0,9.0,20.0,2012.0,1.0,1,0,0,0,0,0,1
6.0,7.0,4.0,25.0,50.0,2012.0,6.0,1,0,0,0,0,1,0
8.0,14.0,97.0,9.0,34.0,2007.0,6.0,1,0,0,0,0,0,1
7.0,10.0,7.0,54.0,65.0,2008.0,0.0,0,0,0,0,0,0,0
5.0,11.0,98.0,12.0,25.0,2014.0,3.0,1,0,0,0,0,0,1
9.0,24.0,55.0,24.0,25.0,2009.0,5.0,0,0,0,0,0,0,0
7.0,16.0,94.0,9.0,50.0,2008.0,8.0,0,0,0,0,0,0,1
