country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
US,88,35.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Syrah,0,0,0,0,0,0,2013.0,0
South Africa,89,30.0,Stellenbosch,,Susan Kostrzewa,Pinotage,0,0,0,0,0,0,2005.0,0
Portugal,90,,Douro,,Roger Voss,Portuguese Red,0,0,0,0,0,0,2008.0,0
South Africa,91,,Stellenbosch,,Lauren Buzzeo,Cabernet Sauvignon-Shiraz,0,0,0,0,0,0,2015.0,1
Portugal,90,,Dão,,Roger Voss,Encruzado,0,0,0,0,0,0,2014.0,0
New Zealand,85,40.0,Central Otago,,Joe Czerwinski,Pinot Noir,1,0,0,0,0,0,2009.0,0
France,90,25.0,Provence,Bandol,Roger Voss,Provence white blend,0,1,0,0,0,0,2012.0,0
Argentina,87,14.0,Mendoza Province,Mendoza,Michael Schachner,Chardonnay,0,1,0,0,1,0,2016.0,0
France,85,21.0,Burgundy,Montagny,Roger Voss,Chardonnay,0,1,0,0,0,0,2011.0,0
US,86,25.0,California,Mendocino County,Jim Gordon,Red Blend,0,0,0,0,0,1,2013.0,1
Italy,92,54.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Sangiovese,1,0,0,0,1,0,2012.0,0
US,86,26.0,California,Monterey,Matt Kettmann,Rosé,1,0,1,0,0,0,2015.0,0
France,94,,Bordeaux,Saint-Émilion,Roger Voss,Bordeaux-style Red Blend,0,0,0,0,0,0,2005.0,1
US,82,25.0,Virginia,Virginia,,Bordeaux-style Red Blend,0,0,0,0,0,0,2009.0,1
France,88,17.0,Beaujolais,Brouilly,Roger Voss,Gamay,0,0,0,0,0,1,2006.0,0
France,86,15.0,Burgundy,Bourgogne,Roger Voss,Chardonnay,0,0,0,0,0,0,2016.0,0
Spain,91,100.0,Catalonia,Priorat,Michael Schachner,Red Blend,0,0,0,0,0,0,2010.0,1
US,88,17.0,Oregon,Oregon,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2010.0,0
Italy,88,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Glera,0,0,0,0,0,0,2014.0,0
US,90,26.0,Washington,Washington,Sean P. Sullivan,Rhône-style Red Blend,0,0,0,0,0,0,,1
Italy,87,16.0,Tuscany,Toscana,Kerin O’Keefe,Red Blend,1,0,0,0,0,0,2014.0,1
Italy,86,23.0,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,Grillo,0,0,0,0,0,0,2015.0,0
France,91,40.0,France Other,Vin de France,Roger Voss,Rosé,0,0,0,0,0,0,2014.0,0
US,85,42.0,California,Paso Robles,,Zinfandel,0,0,0,0,0,1,2009.0,0
Spain,87,12.0,Catalonia,Cava,Michael Schachner,Sparkling Blend,0,0,0,0,0,1,,1
US,94,96.0,California,Stags Leap District,Virginie Boone,Bordeaux-style Red Blend,1,0,0,0,0,0,2012.0,1
