country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
1.0,88,35.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2013.0,0
2.0,89,30.0,2.0,,2.0,2.0,0,0,0,0,0,0,2005.0,0
3.0,90,,3.0,,3.0,3.0,0,0,0,0,0,0,2008.0,0
2.0,91,,2.0,,4.0,4.0,0,0,0,0,0,0,2015.0,1
3.0,90,,4.0,,3.0,5.0,0,0,0,0,0,0,2014.0,0
4.0,85,40.0,5.0,,5.0,6.0,1,0,0,0,0,0,2009.0,0
5.0,90,25.0,6.0,3.0,3.0,7.0,0,1,0,0,0,0,2012.0,0
6.0,87,14.0,7.0,4.0,6.0,8.0,0,1,0,0,1,0,2016.0,0
5.0,85,21.0,8.0,5.0,3.0,8.0,0,1,0,0,0,0,2011.0,0
1.0,86,25.0,9.0,6.0,7.0,9.0,0,0,0,0,0,1,2013.0,1
7.0,92,54.0,10.0,7.0,8.0,10.0,1,0,0,0,1,0,2012.0,0
1.0,86,26.0,9.0,8.0,9.0,11.0,1,0,1,0,0,0,2015.0,0
5.0,94,,11.0,9.0,3.0,12.0,0,0,0,0,0,0,2005.0,1
1.0,82,25.0,12.0,10.0,,12.0,0,0,0,0,0,0,2009.0,1
5.0,88,17.0,13.0,11.0,3.0,13.0,0,0,0,0,0,1,2006.0,0
5.0,86,15.0,8.0,12.0,3.0,8.0,0,0,0,0,0,0,2016.0,0
8.0,91,100.0,14.0,13.0,6.0,9.0,0,0,0,0,0,0,2010.0,1
1.0,88,17.0,15.0,14.0,11.0,6.0,0,0,0,0,0,0,2010.0,0
7.0,88,16.0,16.0,15.0,8.0,14.0,0,0,0,0,0,0,2014.0,0
1.0,90,26.0,1.0,16.0,1.0,15.0,0,0,0,0,0,0,,1
7.0,87,16.0,10.0,17.0,8.0,9.0,1,0,0,0,0,0,2014.0,1
7.0,86,23.0,17.0,18.0,8.0,16.0,0,0,0,0,0,0,2015.0,0
5.0,91,40.0,18.0,19.0,3.0,11.0,0,0,0,0,0,0,2014.0,0
1.0,85,42.0,9.0,20.0,,17.0,0,0,0,0,0,1,2009.0,0
8.0,87,12.0,14.0,21.0,6.0,18.0,0,0,0,0,0,1,,1
1.0,94,96.0,9.0,22.0,12.0,12.0,1,0,0,0,0,0,2012.0,1
8.0,88,20.0,19.0,23.0,6.0,19.0,0,0,0,0,0,0,2011.0,0
9.0,87,80.0,20.0,,5.0,20.0,1,0,0,0,0,0,2007.0,0
1.0,87,30.0,1.0,1.0,11.0,17.0,0,0,0,0,0,0,2009.0,0
10.0,85,15.0,21.0,,6.0,21.0,0,0,0,0,0,0,2009.0,1
